"track.id","track.name","track.artist","track.popularity","track.album.id","track.album.name","track.album.release_date","playlist_name","playlist_id","playlist_genero","playlist_subgenero","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"5mEwhCsqadBZIE7SSrv1gC","Down And Out","Cam’ron",64,"4k6ci0PJUSV8CeQDTBfm44","Purple Haze","2004-01-01","Hip-Hop Drive","37i9dQZF1DWUFmyho2wkQU","rap","hip hop",0.74,0.841,6,-2.891,0,0.237,0.0232,0,0.111,0.673,83.007,248627
"5MFr2IB9u3t7nYdRL53viF","What I'd Give","LVNDSCAPE",55,"1qxq6W6zj8YTVgJpOnBSYE","What I'd Give","2019-09-13","Tropical House 🏝 Tropical Covers, Tropical House Remixes, Tropical Deep House","06zrBJ5cts5aemZmqe80J7","latin","tropical",0.745,0.669,9,-5.204,1,0.0316,0.00761,0,0.118,0.513,107.02,191321
"5MG942xwvd0vnD9UIAfkGI","Heartbeat","Adon",52,"0v7CJ64uBIRFg7ADvm97Ah","Heartbeat","2021-08-13","Tropical House","37i9dQZF1DX0AMssoUKCz7","latin","tropical",0.616,0.714,4,-6.338,1,0.087,0.0378,0.00000145,0.293,0.224,122.908,183415
"5MgL0ccriqgDP1Gq3pwNNO","If Tomorrow Never Comes (Feat. Spencer Charnas of Ice Nine Kills)","Bad Wolves",57,"3la7NF2COfg90BdTY7HGtS","If Tomorrow Never Comes (Feat. Spencer Charnas of Ice Nine Kills)","2022-03-18","Rock Hard","37i9dQZF1DWWJOmJ7nRx0C","rock","hard rock",0.349,0.907,1,-4.545,1,0.142,0.0000451,0.0000562,0.196,0.326,164.057,189499
"5MIWYWguyDnxBlCQT9V4Kt","Tu Pun Pun","El General",54,"0Qq0V5ltYmOukWBisFoZDI","Estas Buena","1991-07-15","Old School Reggaeton 🔥","3z0zQdiFbPdiZ1I7xRpqPx","latin","reggaeton",0.79,0.551,11,-7.674,1,0.227,0.221,0,0.0682,0.787,179.277,212933
"5mkNVpNE5n4biHtevTFgO0","Whatcha Gonna Do?","Pablo Cruise",29,"09jxC4cmWYXuecx9kcJP2o","20th Century Masters: The Millennium Collection: Best of Pablo Cruise","2001-01-01","70s / 80s Classic Rock","2PN15bXFeVMfFFOY64nsaX","rock","classic rock",0.727,0.652,0,-9.746,1,0.038,0.0681,0.000122,0.17,0.952,110.636,256960
"5MLNm8nsvpCWJ2YpurIGLp","All Through the Night","Juelz",41,"45IlRslbY2q1bvRMHSVDD9","Paradise Lost","2021-08-13","Trap Mojito","37i9dQZF1DX1OIMC8iDi74","rap","trap",0.524,0.913,6,-2.64,0,0.0549,0.0522,0.196,0.576,0.277,127.066,210254
"5Mmk2ii6laakqfeCT7OnVD","Thong Song","Sisqo",71,"0nyora4kbjBGE4d1B9gxnm","Unleash The Dragon","1999-01-01","2000s Hip-Hop Retrogamer","5dBbja1fYohcz7JUXJiyhM","rap","hip hop",0.706,0.888,2,-6.959,1,0.0654,0.119,0.0000964,0.07,0.714,121.549,253733
"5MMnwYs0hIxkENRsbkWJ2G","Smoke On The Water - Remastered 2012","Deep Purple",74,"32NQ56VZDTXSH3SMv4XSGN","Machine Head (Remastered)","1972-03-25","Rock Mix","37i9dQZF1EQpj7X7UK8OOF","rock","hard rock",0.598,0.676,0,-9.211,1,0.0279,0.13,0.225,0.112,0.805,114.169,340742
"5MNS5FF4LrTX0jIaI0gory","Triste","Bryant Myers",0,"0AAxqrygloVXEathVtYauj","La Oscuridad","2018-07-27","Trap Classics","37i9dQZF1DX9ru0ROInnew","rap","trap",0.693,0.724,9,-5.379,1,0.109,0.403,0,0.0978,0.263,130.05,264906
