"","rbd","media_mate","median_mate","media_leng","median_leng","porc_fem","nom_rbd","latitud","longitud","cod_com_rbd","nom_com_rbd","pago_matricula"
"305",9656,298.534756451118,300.400009155273,258.776913489824,256.040008544922,52.6881720430108,"ESCUELA PARTICULAR PDTE.JOSE J.PRIETO",-33.57718287,-70.63016922,13112,"LA PINTANA","GRATUITO"
"306",9659,229.88767049845,235.309997558594,205.233981379756,193.934997558594,50.8670520231214,"ESCUELA COLEGIO ALBERTO BLEST GANA",-33.51989686,-70.638285,13131,"SAN RAMÓN","GRATUITO"
"307",9660,272.522727272727,290.09001159668,245.842499901267,253.194999694824,49.4505494505495,"ESCUELA PARTIC PARROQUIAL DOMINGO SAVIO",-33.53850019,-70.64662425,13131,"SAN RAMÓN","GRATUITO"
"308",9665,230.041204705296,231.139999389648,231.057440646859,234.270004272461,53,"CENTRO EDUCACIONAL SANTA ROSA DEL SUR",-33.58464194,-70.62843515,13112,"LA PINTANA","GRATUITO"
"309",9684,322.408376745276,336.559997558594,295.309284755162,299.110000610352,54.3478260869565,"COLEGIO SAN GREGORIO DE LA SALLE",-33.53655435,-70.62082979,13111,"LA GRANJA","GRATUITO"
"310",9686,209.979782104492,209.470001220703,228.343878921197,221.880004882812,61.5384615384615,"LICEO TÉCNICO CLOTARIO BLEST RIFFO",-33.50164846,-70.68163149,13121,"PEDRO AGUIRRE CERDA","GRATUITO"
"311",9687,228.979122496488,223.460006713867,222.793774011,217.800003051758,64.1025641025641,"LICEO CHRISTA MC AULIFFE",-33.54888401,-70.67061204,13105,"EL BOSQUE","GRATUITO"
"312",9688,189.559629934805,169.759994506836,195.631579348915,188.630004882812,50.5882352941176,"LICEO JUAN GOMEZ MILLAS",-33.54948001,-70.67110271,13105,"EL BOSQUE","GRATUITO"
"313",9690,181.579000091553,181.669998168945,189.764998435974,179.319999694824,52.7777777777778,"CENTRO DUC.CARDENAL JOSE MARIA CARO",-33.50831662,-70.69328619,13116,"LO ESPEJO","GRATUITO"
"314",9693,232.026517156345,233.080001831055,210.076885348461,204.334999084473,39.0374331550802,"LICEO POLITECNICO CIENCIA Y TECNOLOGIA",-33.54133967,-70.65970618,13109,"LA CISTERNA","GRATUITO"
"315",9694,233.477499825614,240.369995117188,227.732458396036,224,41.0958904109589,"INSTITUTO COMERCIAL PADRE ALBERTO HURTADO DE PEDRO AGUIRRE CERDA",-33.50209125,-70.68156263,13121,"PEDRO AGUIRRE CERDA","GRATUITO"
"316",9695,187.706179001752,184.340003967285,188.788570949009,194.974998474121,45.6140350877193,"LICEO POLIVALENTE EUGENIO PEREIRA SALAS",-33.49472056,-70.68331155,13121,"PEDRO AGUIRRE CERDA","GRATUITO"
"317",9697,184.870952787853,184.679992675781,205.516499328613,202.155006408691,40.5405405405405,"LICEO POLIVALENTE",-33.51331038,-70.68295849,13116,"LO ESPEJO","GRATUITO"
"318",9701,199.901666514079,197.139999389648,208.336130449849,205.070007324219,37.5,"LICEO POLIVALENTE OLOF PALME",-33.54562584,-70.65841682,13109,"LA CISTERNA","GRATUITO"
"319",9722,231.83689564672,229.910003662109,203.418998718262,191.464996337891,35.7142857142857,"LICEO PORTAL DE LA CISTERNA",-33.51554732,-70.65594521,13109,"LA CISTERNA","GRATUITO"
"320",9726,195.115715026855,175.350006103516,210.48142678397,206.354995727539,50,"LICEO TENIENTE FRANCISCO MERY AGUIRRE",-33.53357756,-70.69548281,13116,"LO ESPEJO","GRATUITO"
"321",9743,208.685002009074,207.444999694824,200.861537053035,192.809997558594,33.3333333333333,"LICEO ELENA CAFFARENA MORICE",-33.57026317,-70.66736433,13105,"EL BOSQUE","GRATUITO"
"322",9754,229.153975796987,231.179992675781,209.069565648618,202.714996337891,53.1468531468531,"INSTITUTO COMERCIAL PARTICULAR LA CISTERNA",-33.53937703,-70.66797504,13109,"LA CISTERNA","GRATUITO"
"323",9757,287.740545654297,287.790008544922,273.665999533913,272.859985351562,100,"CENTRO EDUCACIONAL SANTA CLARA",-33.52104407,-70.65707284,13109,"LA CISTERNA","GRATUITO"
"324",9758,273.816285705566,274.835006713867,258.923246111189,265.950012207031,54.4444444444444,"COLEGIO SANTA ISABEL DE HUNGRIA",-33.53079557,-70.66546386,13109,"LA CISTERNA","GRATUITO"
"325",9759,287.12945389421,291.660003662109,267.72389597707,272.809997558594,100,"LICEO LAURA VICUNA",-33.54074769,-70.6647866,13109,"LA CISTERNA","$1.000 A $10.000"
"326",9766,317.11500113351,318.960006713867,282.608334132603,284.865005493164,66.6666666666667,"COLEGIO SANTA MARIA DE LOS ANGELES",-33.54494693,-70.66794358,13109,"LA CISTERNA","$1.000 A $10.000"
"327",9767,314.631749725342,310.995010375977,282.757948459723,294.894989013672,80.9523809523809,"LICEO MADRE CECILIA LAZZERI",-33.53388406,-70.66763531,13109,"LA CISTERNA","GRATUITO"
"328",9768,295.63035774231,300.859985351562,278.376608276367,280.769989013672,53.7190082644628,"ESCUELA Y LICEO LIAHONA",-33.54688272,-70.66901258,13105,"EL BOSQUE","GRATUITO"
"329",9771,240.645526484439,237.825004577637,221.68125,221.914993286133,59.1397849462366,"CHILEAN EAGLES COLLEGE - LA CISTERNA",-33.52396166,-70.65101157,13109,"LA CISTERNA","GRATUITO"
"330",9779,239.238969236432,245.600006103516,229.839762188139,231.815002441406,53.5398230088496,"CENTRO EDUCACIONAL SANTA ROSA",-33.53483086,-70.6544089,13109,"LA CISTERNA","GRATUITO"
"331",9780,235.325173213564,224.820007324219,203.353142874581,200.350006103516,44.1860465116279,"COLEGIO TENIENTE DAGOBERTO GODOY",-33.5597464,-70.65811107,13105,"EL BOSQUE","GRATUITO"
"332",9781,232.06866044405,232.085006713867,228.411356041564,228.350006103516,60.3508771929825,"CENTRO POLITECNICO PARTICULAR SAN RAMON",-33.53942493,-70.65746279,13109,"LA CISTERNA","GRATUITO"
"333",9784,210.869286128453,207.354995727539,197.741333007812,195.275001525879,26.0869565217391,"LICEO TÉCNICO INDUSTRIAL LA CISTERNA",-33.52882961,-70.6515616,13109,"LA CISTERNA","GRATUITO"
"334",9796,281.100312709808,272.595001220703,274.548438549042,274.860000610352,44.1176470588235,"ESC. PART.ADVENTISTA BUENAVENTURA",-33.50569594,-70.69472345,13116,"LO ESPEJO","GRATUITO"
"335",9797,298.00513355152,299.070007324219,276.795262386924,280.720001220703,43.9024390243902,"COLEGIO ADVENTISTA LA CISTERNA",-33.53763485,-70.6682878,13109,"LA CISTERNA","$1.000 A $10.000"
"336",9799,255.439231350891,258.119995117188,252.936752058502,251.039993286133,47.4452554744526,"COMPLEJO EDUC.PART.MONSENOR LUIS A.PEREZ",-33.50108236,-70.68927348,13121,"PEDRO AGUIRRE CERDA","GRATUITO"
"337",9800,297.641094050995,291.769989013672,252.636437821062,248.940002441406,60.7142857142857,"ESCUELA BAS. ROSA ELVIRA MATTE DE PRIETO",-33.50679897,-70.6926526,13116,"LO ESPEJO","GRATUITO"
"338",9801,258.818750926427,267.345001220703,250.405092635245,251.059997558594,66.1538461538461,"COLEGIO POLIV. SAINT ORLAND",-33.52937619,-70.65171822,13109,"LA CISTERNA","GRATUITO"
"339",9810,226.237618582589,224.930000305176,231.573799438477,234.074996948242,49.1525423728814,"LICEO POLITECNICO PART.SAGRADO CORAZON",-33.51482345,-70.68008078,13116,"LO ESPEJO","GRATUITO"
"340",9824,241.5512251562,249.039993286133,238.096416545364,224.850006103516,60.3448275862069,"COMPLEJO EDUCACIONAL STELLA MARIS",-33.55693659,-70.67449999,13105,"EL BOSQUE","$1.000 A $10.000"
"341",9827,275.403905163073,277.43000793457,260.407667439779,258.779998779297,58.2857142857143,"COLEGIO IDOP LIMITADA",-33.54318865,-70.66151495,13109,"LA CISTERNA","GRATUITO"
"342",9828,248.860717773438,250.069999694824,253.175998942057,249.940002441406,47.0588235294118,"COLEGIO SOL DE CHILE",-33.52923642,-70.69734098,13116,"LO ESPEJO","GRATUITO"
